teks,entitas
Acara tersebut diselenggarakan di Bank Mandiri.,[]
Kantor pusatnya berlokasi di Denpasar.,[]
"Rapat RT akan diadakan di Jl. Rajawali, RT 17/RW 11, Kel. Tegalsari, Balikpapan.","[{""start"": 26, ""end"": 79, ""label"": ""ADR""}]"
Rapat membahas Surabaya akan dilaksanakan besok.,[]
Jaksa Agung Dini Imaniar menyampaikan pernyataan resmi kemarin.,"[{""start"": 12, ""end"": 24, ""label"": ""PER""}]"
"Di antara peserta terdapat I Gusti Ngurah Rai, Jean-Luc Picard, dan Michael Phelps.","[{""start"": 27, ""end"": 45, ""label"": ""PER""}, {""start"": 47, ""end"": 62, ""label"": ""PER""}, {""start"": 68, ""end"": 82, ""label"": ""PER""}]"
Saya punya saudara di jakarta namanya Basuki Rahmat.,"[{""start"": 38, ""end"": 51, ""label"": ""PER""}]"
@drandiwijaya membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 13, ""label"": ""PER""}]"
"Kost berada di Jl. Ahmad Yani No. 175, RT 14/RW 14, Kel. Antapani, Kec. Buah Batu, Yogyakarta, Jawa Tengah, 81391.","[{""start"": 15, ""end"": 113, ""label"": ""ADR""}]"
"Nama Lengkap: Tubagus Hasanuddin
Alamat: 421 Sunset Street, Berlin, Jerman.","[{""start"": 14, ""end"": 32, ""label"": ""PER""}, {""start"": 41, ""end"": 74, ""label"": ""ADR""}]"
Barack Obama tinggal di Yayasan Ahmad Dahlan sejak tahun lalu.,"[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
"Ia baru saja pindah ke 183 Victoria Lane, Sydney, Australia.","[{""start"": 23, ""end"": 59, ""label"": ""ADR""}]"
WAWAN ADALAH GUBERNUR JAWA BARAT.,"[{""start"": 0, ""end"": 5, ""label"": ""PER""}]"
Yang mulai terlihat sejak dini hari.,[]
Apakah kamu sudah menghubungi Raden Adjeng Kartini hari ini?,"[{""start"": 30, ""end"": 50, ""label"": ""PER""}]"
ACARA TAHUNAN ITU SELALU DIGELAR DI BALI.,[]
Nadiem Makarim adalah salah satu tokoh penting dalam sejarah.,"[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di Jalan Cemara No. 176A, RT 15/RW 11, Kel. Menteng, Depok.","[{""start"": 43, ""end"": 98, ""label"": ""ADR""}]"
@sergeybrin membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
ERICK THOHIR MENGHADIRI RAPAT MENGENAI BEKASI PAGI INI.,"[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
K.H. Ma'ruf Amin adalah gubernur jawa barat.,"[{""start"": 0, ""end"": 16, ""label"": ""PER""}]"
Kemarin saya pergi ke Tangerang untuk urusan pekerjaan.,[]
Kami sedang menunggu tanda tangan dari Tuan Guru Bajang untuk mencairkan dana.,"[{""start"": 39, ""end"": 55, ""label"": ""PER""}]"
"Rumah kost berada di Jalan Cemara No. 54A, RT 18/RW 09, Desa Cibogo, Kec. Sukasari, Denpasar, Bali, 51156.","[{""start"": 21, ""end"": 105, ""label"": ""ADR""}]"
"Anies Baswedan, Vladimir Putin, serta Jean-Pierre Dubois kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}, {""start"": 16, ""end"": 30, ""label"": ""PER""}, {""start"": 38, ""end"": 56, ""label"": ""PER""}]"
"Nama: Franklin D. Roosevelt, Alamat: Dusun Sumber RT 08/RW 07, Kel. Cihapit, Kec. Tegalsari, Kab. Sidoarjo.","[{""start"": 6, ""end"": 27, ""label"": ""PER""}, {""start"": 37, ""end"": 106, ""label"": ""ADR""}]"
Kemarin mobilnya H. Rhoma Irama mogok di jalan tol.,"[{""start"": 17, ""end"": 31, ""label"": ""PER""}]"
"Panitia mengundang Nadiem Makarim, LeBron James, Wahyu, dan Ahmad Yani sebagai narasumber.","[{""start"": 19, ""end"": 33, ""label"": ""PER""}, {""start"": 35, ""end"": 47, ""label"": ""PER""}, {""start"": 49, ""end"": 54, ""label"": ""PER""}, {""start"": 60, ""end"": 70, ""label"": ""PER""}]"
Laporan tersebut telah dikirimkan langsung ke meja Vladimir Putin.,"[{""start"": 51, ""end"": 65, ""label"": ""PER""}]"
INFLASI TAHUNAN TURUN KE LEVEL TERENDAH.,[]
"Paket untuk Kobe Bryant dikirim ke Gang Basuki Rahmat No. 115B, RT 11/RW 10, Kel. Tegalsari, Balikpapan.","[{""start"": 12, ""end"": 23, ""label"": ""PER""}, {""start"": 35, ""end"": 103, ""label"": ""ADR""}]"
"Silakan kirim paket ke Perumahan Taman Sari Blok H11 No. 40, Manado.","[{""start"": 23, ""end"": 67, ""label"": ""ADR""}]"
Kantor cabang baru akan dibuka di Manado.,[]
Gagasan yang dikemukakan oleh Cak Lontong memicu perdebatan panjang.,"[{""start"": 30, ""end"": 41, ""label"": ""PER""}]"
Ia baru saja pindah ke Paris.,[]
Kami sudah lama menetap di Malang.,[]
KARYA SENI MILIK DONI BERHASIL TERJUAL DENGAN HARGA FANTASTIS.,"[{""start"": 17, ""end"": 21, ""label"": ""PER""}]"
Dokumen itu merujuk pada Makassar.,[]
Kantor cabang baru akan dibuka di Amsterdam.,[]
Proyek ini dipimpin langsung oleh Kim Jong-un.,"[{""start"": 34, ""end"": 45, ""label"": ""PER""}]"
"Silakan kirim paket ke Jalan Basuki Rahmat No. 118B, Palembang.","[{""start"": 23, ""end"": 62, ""label"": ""ADR""}]"
"Ia baru saja pindah ke Perumahan Puri Nirwana Blok A8 No. 23, Makassar.","[{""start"": 23, ""end"": 70, ""label"": ""ADR""}]"
Acara tersebut diselenggarakan di 17 Agustus 1945.,[]
"Rumah beliau berada di Apartemen Kemang Village Tower D Lantai 29, Jakarta.","[{""start"": 23, ""end"": 74, ""label"": ""ADR""}]"
Buku terbaru itu ditulis oleh I Gusti Ngurah Rai dan diterbitkan bulan lalu.,"[{""start"": 30, ""end"": 48, ""label"": ""PER""}]"
